link,name,ingredients,eng_ingredients
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,250 g gotowych ravioli,250 g of prepared ravioli
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,150 ml bulionu,150 ml broth
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,1 łyżeczka suszonego oregano,1 teaspoon dried oregano
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,szczypta płatków chili,a pinch of chili flakes
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,200 ml passaty pomidorowej,200 ml tomato passionate
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,ok. 50 g tartego sera,approx. 50 g grated cheese
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,1 łyżka kaparów,1 spoonful of capers
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,kilka czarnych oliwek,Several black olives
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,świeża bazylia,fresh basil
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,bagietka,baguette
https://www.kwestiasmaku.com//przepis/figi-pieczone-z-feta,Figi pieczone z fetą,"100 g oryginalnego, greckiego sera feta",100 g original Greek feta cheese
https://www.kwestiasmaku.com//przepis/figi-pieczone-z-feta,Figi pieczone z fetą,4 świeże figi,4 fresh figs
https://www.kwestiasmaku.com//przepis/figi-pieczone-z-feta,Figi pieczone z fetą,2 łyżki oliwy extra,2 tablespoons extra oil
https://www.kwestiasmaku.com//przepis/figi-pieczone-z-feta,Figi pieczone z fetą,2 łyżki miodu,2 tablespoons honey
https://www.kwestiasmaku.com//przepis/figi-pieczone-z-feta,Figi pieczone z fetą,świeżo zmielony czarny pieprz,freshly ground black pepper
https://www.kwestiasmaku.com//przepis/figi-pieczone-z-feta,Figi pieczone z fetą,gałązka rozmarynu (lub 1/2 łyżeczki suszonego),twig of rosemary (or 1/2 teaspoon dried)
https://www.kwestiasmaku.com//przepis/figi-pieczone-z-feta,Figi pieczone z fetą,opcjonalnie: szczypta płatków chili,optional: a pinch of chili flakes
https://www.kwestiasmaku.com//przepis/figi-pieczone-z-feta,Figi pieczone z fetą,do podania: bagietka,for administration: bagel
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,1 polędwiczka wieprzowa,1 pork tenderloin
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,1/2 łyżeczki czosnku w proszku,1/2 teaspoon garlic powder
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,1/3 łyżeczki papryki chili,1/3 teaspoon of chili peppers
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,2 łyżki sosu rybnego,2 tablespoons of fish sauce
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,2 łyżeczki cukru,2 teaspoons sugar
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,2 łyżeczki wody,2 teaspoons of water
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,1 mango,1 mangoes
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,1 ogórek,1 cucumber
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,1/2 czerwonej cebuli,1/2 red onions
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,1/2 limonki,1/2 limes
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,1 pęczek natki pietruszki,1 bunch of parsley
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,kawałek papryczki chili,a slice of chili pepper
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,2 łyżki oleju,2 tablespoons oil
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,100 g ryżu basmati (1 torebka),100 g basmati rice (1 bag)
https://www.kwestiasmaku.com//przepis/poledwiczka-z-ryzem-i-salsa-mango,Polędwiczka z ryżem i salsą mango,ostry sos sriracha,spicy sriracha sauce
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",200 g krewetek,200 g shrimp
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",100 g makaronu ryżowego,100 g rice pasta
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",3 łyżki oleju roślinnego,3 tablespoons vegetable oil
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",1/2 cebuli,1/2 onions
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",2 ząbki czosnku,2 garlic teeth
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",1 marchewka,1 carrot
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",3 cm kawałek imbiru,3 cm piece of ginger
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",1/2 cukinii,1/2 zucchini
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",1 słoik lub puszka kiełków fasoli mung,1 jar or can of mung beans
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",1 jajko,1 egg
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",1 łyżka sosu sojowego,1 spoonful of soy sauce
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",limonka do skropienia,lime to be sprinkled
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",natka lub kolendra,nave or coriander
https://www.kwestiasmaku.com//przepis/makaron-ryzowy-z-krewetkami-cukinia-i-marchewka,"Makaron ryżowy z krewetkami, cukinią i marchewką",posiekane orzechy ziemne (opcjonalnie),groundnuts chopped (optional)
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,600 g świeżego łososia,600 g fresh salmon
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,2 łyżki sosu sojowego,2 tablespoons soy sauce
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,1 łyżeczka soku z cytryny lub octu ryżowego,1 teaspoon lemon juice or rice vinegar
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,2 łyżeczki oleju sezamowego,2 teaspoons sesame oil
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,1 łyżka cukru trzcinowego,1 spoonful of cane sugar
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,2 łyżeczki japońskiej przyprawy shichimi togarashi,2 teaspoons of Japanese spice shichimi togarashi
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,1 i 1/2 litra bulionu (może być z eko kostki),1 and 1/2 litres of broth (can be of eco-ankle)
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,1 szklanka mleka migdałowego,1 glass of almond milk
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,1 łyżeczka koreańskiej pasty gochujang lub pasty/oleju chili,1 teaspoon of Korean gochujang paste or chili oil paste
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,1 łyżka pasty miso,1 spoonful of miso paste
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,1 łyżka masła orzechowego lub tahini,1 spoonful of peanut butter or tahini
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,75 g młodego szpinaku,75 g of young spinach
https://www.kwestiasmaku.com//przepis/ramen-z-lososiem,Ramen z łososiem,400 g świeżego makaronu ramen,400 g fresh ramen pasta
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,125 g makaronu,125 g pasta
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,garść fasolki szparagowej,a handful of asparagus beans
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,1 marchewka,1 carrot
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,1 mała cukinia,1 small zucchini
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,2 łyżki oliwy,2 tablespoons of oil
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,2 łyżki masła,2 tablespoons butter
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,1 nieduża cebula,1 small onion
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,3 ząbki czosnku,3 garlic teeth
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,1 pomidor lub garść pomidorków koktajlowych,1 tomato or a handful of cocktail tomatoes
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,1 łyżeczka suszonego oregano,1 teaspoon dried oregano
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,1 łyżka posiekanego szczypiorku,1 spoon of chopped chives
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,2 łyżki posiekanej bazylii,2 spoons of chopped basil
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-warzywami,Makaron Primavera,3 łyżki tartego parmezanu lub grana padano*,3 tablespoons of parmesan or padano*
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,500 g filetów kurczaka lub indyka,500 g chicken or turkey fillets
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,1/2 łyżeczki papryki w proszku,1/2 teaspoons paprika powder
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,1/2 łyżeczki kminu rzymskiego mielonego,1/2 teaspoon of minced cumin
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,szczypta płatków chili lub ostrej papryki,a pinch of chili flakes or hot peppers
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,1 łyżeczka cukru trzcinowego,1 teaspoon cane sugar
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,1 łyżka oliwy,1 spoon of oil
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,400 g śliwek,400 g plums
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,1/2 czerwonej cebuli,1/2 red onions
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,2 łyżki posiekanej natku lub bazylii,2 tablespoons chopped on the spot or basil
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,1/2 papryczki chili,1/2 chili peppers
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,2 łyżeczki cukru trzcinowego,2 teaspoons cane sugar
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,sok z 1 limonki,1 lime juice
https://www.kwestiasmaku.com//przepis/filety-drobiowe-z-salsa-sliwkowa,Filety drobiowe z salsą śliwkową,1 łyżeczka oliwy extra,1 teaspoon extra oil
https://www.kwestiasmaku.com//przepis/kasza-jaglana-zapiekana-ze-sliwkami,Kasza jaglana zapiekana ze śliwkami,200 g kaszy jaglanej (1 szklanka),200 g lamb groats (1 glass)
https://www.kwestiasmaku.com//przepis/kasza-jaglana-zapiekana-ze-sliwkami,Kasza jaglana zapiekana ze śliwkami,3 szklanki mleka (krowiego lub roślinnego),3 glasses of milk (cow or vegetable)
https://www.kwestiasmaku.com//przepis/kasza-jaglana-zapiekana-ze-sliwkami,Kasza jaglana zapiekana ze śliwkami,1 łyżka cukru wanilinowego lub 1 łyżeczka wanilii,1 spoonful of vanillin sugar or 1 teaspoon of vanilla
https://www.kwestiasmaku.com//przepis/kasza-jaglana-zapiekana-ze-sliwkami,Kasza jaglana zapiekana ze śliwkami,1 kg śliwek,1 kg of plums
https://www.kwestiasmaku.com//przepis/kasza-jaglana-zapiekana-ze-sliwkami,Kasza jaglana zapiekana ze śliwkami,5 - 6 łyżek cukru,5 - 6 tablespoons sugar
https://www.kwestiasmaku.com//przepis/kasza-jaglana-zapiekana-ze-sliwkami,Kasza jaglana zapiekana ze śliwkami,1 łyżeczka cynamonu,1 teaspoon of cinnamon
https://www.kwestiasmaku.com//przepis/kasza-jaglana-zapiekana-ze-sliwkami,Kasza jaglana zapiekana ze śliwkami,2 łyżki masła lub tłuszczu roślinnego twardego,2 tablespoons of hard butter or vegetable fat
https://www.kwestiasmaku.com//przepis/kasza-jaglana-zapiekana-ze-sliwkami,Kasza jaglana zapiekana ze śliwkami,4 łyżki wiórków kokosowych lub migdałów (opcjonalnie),4 tablespoons of coconut or almond chips (optional)
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,500 g filetów kurczaka,500 g chicken fillets
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,1/2 łyżeczki sproszkowanego czosnku,1/2 teaspoon of powdered garlic
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,200 g ryżu (np. basmati),200 g rice (e.g. basmati)
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,2 łyżki oleju,2 tablespoons oil
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,2 ząbki czosnku,2 garlic teeth
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,2 łyżki masła,2 tablespoons butter
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,szczypta płatków chili,a pinch of chili flakes
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,1/3 szklanki białego wina,1/3 glass of white wine
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,3 szklanki bulionu,3 glasses of broth
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,1 szklanka drobno startego parmezanu lub grana padano,1 glass of finely cut parmesan or padano
https://www.kwestiasmaku.com//przepis/kurczak-z-ryzem-i-parmezanem,Kurczak z ryżem i parmezanem,posiekana natka pietruszki,chopped parsley
https://www.kwestiasmaku.com//przepis/filety-ryby-w-sosie-maslano-cytrynowym,FIlety ryby w sosie maślano-cytrynowym,300 g białej ryby ze skórką,300 g white fish with peel
https://www.kwestiasmaku.com//przepis/filety-ryby-w-sosie-maslano-cytrynowym,FIlety ryby w sosie maślano-cytrynowym,1 łyżeczka tymianku,1 teaspoon thyme
https://www.kwestiasmaku.com//przepis/filety-ryby-w-sosie-maslano-cytrynowym,FIlety ryby w sosie maślano-cytrynowym,masło klarowane do smażenia,Clarified butter for frying
https://www.kwestiasmaku.com//przepis/filety-ryby-w-sosie-maslano-cytrynowym,FIlety ryby w sosie maślano-cytrynowym,1/2 szklanki śmietanki 30%,1/2 cups cream 30%
https://www.kwestiasmaku.com//przepis/filety-ryby-w-sosie-maslano-cytrynowym,FIlety ryby w sosie maślano-cytrynowym,sok z 1/4 cytryny,1/4 lemon juice
https://www.kwestiasmaku.com//przepis/filety-ryby-w-sosie-maslano-cytrynowym,FIlety ryby w sosie maślano-cytrynowym,natka pietruszki,"parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley, parsley and parsley"
https://www.kwestiasmaku.com//przepis/zapiekanka-warzywna-z-ziemniakami,Pieczone warzywa z ziemniakami,500 g ziemniaków,500 g potatoes
https://www.kwestiasmaku.com//przepis/zapiekanka-warzywna-z-ziemniakami,Pieczone warzywa z ziemniakami,1 marchewka,1 carrot
https://www.kwestiasmaku.com//przepis/zapiekanka-warzywna-z-ziemniakami,Pieczone warzywa z ziemniakami,2 łyżeczki suszonego tymianku,2 teaspoons of dried thyme
https://www.kwestiasmaku.com//przepis/zapiekanka-warzywna-z-ziemniakami,Pieczone warzywa z ziemniakami,2 łyżki oliwy extra,2 tablespoons extra oil
https://www.kwestiasmaku.com//przepis/zapiekanka-warzywna-z-ziemniakami,Pieczone warzywa z ziemniakami,1/2 cukinii,1/2 zucchini
https://www.kwestiasmaku.com//przepis/zapiekanka-warzywna-z-ziemniakami,Pieczone warzywa z ziemniakami,100 g pomidorków koktajlowych,100 g of cocktail tomatoes
https://www.kwestiasmaku.com//przepis/zapiekanka-warzywna-z-ziemniakami,Pieczone warzywa z ziemniakami,2 ząbki czosnku,2 garlic teeth
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,125 g makaronu,125 g pasta
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,125 g filetu kurczaka,125 g chicken fillet
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,3 ząbki czosnku,3 garlic teeth
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,1 mała cukinia,1 small zucchini
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,2 łyżki oliwy,2 tablespoons of oil
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,2 łyżki masła,2 tablespoons butter
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,1 pomidor,1 tomato
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,1 łyżeczka suszonego oregano,1 teaspoon dried oregano
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,2 łyżki posiekanego szczypiorku,2 tablespoons chopped chives
https://www.kwestiasmaku.com//przepis/makaron-primavera-z-kurczakiem,Makaron Primavera z kurczakiem,tarty parmezan lub grana padano,Parmesan or padano grates
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,1 łyżka oliwy,1 spoon of oil
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,1 łyżka masła (zwykłe lub roślinne),1 spoonful of butter (normal or vegetable)
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,1 cebula,1 onion
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,1 marchewka,1 carrot
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,2 litry rosołu lub bulionu*,2 litres of broth or broth*
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,3 łyżki kaszy jęczmiennej drobnej,3 tablespoons barley fine
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,3 ziemniaki,3 potatoes
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,ok. 125 g kurek,approx. 125 g tap
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,1 pomidor,1 tomato
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,1 łyżka posiekanego koperku,1 spoon of chopped dill
https://www.kwestiasmaku.com//przepis/krupnik-z-kurkami,Krupnik z kurkami,1 łyżka szczypiorku,1 spoon chives
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,"300 g filetu z kurczaka (surowy) lub 200 g pieczony, gotowany lub wędzony (wędlina)","300 g of chicken fillet (raw) or 200 g of roasted, cooked or smoked (coal)"
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,15 cm kawałek bagietki,15 cm piece of baguette
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,2 pomidory (np. bawole serce),2 tomatoes (e.g. buffalo heart)
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,1 główka sałaty rzymskiej,1 head of lettuce
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,1/2 szklanki płatków parmezanu,1/2 cups of parmesan flakes
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,4 łyżki majonezu,4 spoonfuls of mayonnaise
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,1 ząbek czosnku,1 clove garlic
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,1 łyżeczka musztardy,1 teaspoon mustard
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,1 łyżka octu winnego lub jabłkowego,1 spoonful of wine or apple vinegar
https://www.kwestiasmaku.com//przepis/salatka-cezar-z-kurczakiem-i-pomidorem,Sałatka Cezar z kurczakiem i pomidorem,1 łyżeczka sosu worcestershire,1 teaspoon worcestershire sauce
